purchase_id,category
c2aca99a-761e-446a-b884-70c689c89609,tropical fruit
650991e8-a8d6-48c6-9824-04d43ea95d0e,whole milk
39de0c5c-d9b8-47c8-890a-a99fb4e6d0b1,pip fruit
a8516dce-a38d-42a8-9acd-bde393c351df,other vegetables
cdf25d35-d711-4822-9c84-985e7f4c368e,whole milk
ea396c64-907d-4698-a8a3-cd5b970fc0c0,rolls/buns
0864946a-5607-4a55-8382-7e349619f24e,other vegetables
0d53d6e4-f5ad-4e65-9078-63fa4bfee8d0,pot plants
15dda182-5464-4529-b3bd-09ed75c1beef,whole milk
be48b8e6-f7b1-4923-a693-3fdccd47485d,tropical fruit
b27b78b9-e2f9-4bad-8500-85f0f36bc6de,citrus fruit
90a5e3d6-1579-47ba-acd0-f9dad373b8b3,beef
3d669f85-4a2b-4051-9ee0-612fbbb2b379,frankfurter
57570510-29e0-452b-b4bc-3969802b551a,chicken
7f0e6e89-de4b-44a2-8df4-505d7fc572b1,butter
2e324b7c-26aa-43ec-b95e-9c0c51534a03,fruit/vegetable juice
0e455671-16a4-4b51-a0ec-0bf9cc52a5f3,packaged fruit/vegetables
dce0024a-b83f-4790-905a-f4d053b12c12,chocolate
43b20943-47ca-493e-8fba-0c98dd5df06c,specialty bar
296c7700-3052-4bb4-8b06-c72328060b63,other vegetables
5dcd7331-12af-4fdd-b52e-72a54f8fbd61,butter milk
91451741-c75c-4d03-8735-9f03e1037a56,whole milk
d8a6a5dd-ff06-4979-bdb5-58a132bb92f6,tropical fruit
003cc018-c260-42d2-8122-a32c322348a2,tropical fruit
ffa54aca-68e7-4c41-89ff-b1cf8b3deb7b,bottled water
143e7066-1e78-4ec6-85f3-7e62394244a5,yogurt
f152a9af-f712-43e6-bfc1-e22e016c249f,sausage
721d4108-0f81-4d40-98af-2fb14d6b467d,other vegetables
989f4669-6f6d-46bf-9075-4dfe6653d29d,brown bread
2639623b-e60b-40c3-a45f-70671fb78a18,yogurt
26d719fc-abdb-47b9-855c-7d2d3c4f169f,hamburger meat
4703fc70-7c95-4936-ad9e-6c0d89b6941a,root vegetables
a2e97599-a1ac-4a76-811f-b4f1bf346ac4,pork
